model,route,support,tp,fp,fn,tn,precision,recall,f1,route_accuracy,route_accuracy_ci_low,route_accuracy_ci_high
gateway_current,coding_support,100,85,3,15,897,0.965909,0.850000,0.904255,0.850000,0.767163,0.906941
gateway_current,game_ai_guidance,100,77,19,23,881,0.802083,0.770000,0.785714,0.770000,0.678454,0.841568
gateway_current,gameplay_mechanics,100,75,0,25,900,1.000000,0.750000,0.857143,0.750000,0.656954,0.824549
gateway_current,generation_3d,100,100,65,0,835,0.606061,1.000000,0.754717,1.000000,0.963005,1.000000
gateway_current,image_to_3d_generation,100,29,0,71,900,1.000000,0.290000,0.449612,0.290000,0.210147,0.385391
gateway_current,motion_generation,100,100,5,0,895,0.952381,1.000000,0.975610,1.000000,0.963005,1.000000
gateway_current,router_orchestrator,100,98,31,2,869,0.759690,0.980000,0.855895,0.980000,0.929987,0.994498
gateway_current,sound_generation,100,99,13,1,887,0.883929,0.990000,0.933962,0.990000,0.945512,0.998233
gateway_current,text_to_speech,100,91,0,9,900,1.000000,0.910000,0.952880,0.910000,0.837736,0.951928
gateway_current,texture_generation,100,100,9,0,891,0.917431,1.000000,0.956938,1.000000,0.963005,1.000000
